keyword,keyword2,image,date,event
bewitched,witchcraft doctor,images/witchcraft.jpg,2000,Candace Newmaker involved in an intensive therapy and was to be wrapped in flannels and unable to escape. He suffocated eventually.
bewitched,witchcraft doctor,,1993,A Malaysian witch doctor convinced a politician to lie down and close eyes for a ritual and then cut his head off and mutilated his body.
bewitched,demons,images/demon.gif,1977,David Berkowitz murdered six people in New York and claimed that demons had instructed him to kill.
bewitched,demons,,1956,A teenage girl killed her own family under the influence of her boyfriend who believed himself a 1000-year-werewolf.
bewitched,doomsday cult,images/cult.png,2009,The Jamison family's bodies were found four years after they disappeared. It was led by a violent cult.
bewitched,doomsday cult,,1995,The Aum Supreme Truth doomsday cult released 5 bags of poisonous gas on 3 subway lines in Tokyo. It caused death of 13 people and 6000 other injured.
corpse eater,organ feast,images/corpseater.png,2000,Katherine Knight stabbed her partner John Price to death decapitated him cooked up parts of his body and served them to her child.
corpse eater,organ feast,,1981,Issei Sagawa killed Renee Hartvelt. He ate parts of the corpse and stored the remains inside the suitcases.
corpse eater,organ feast,,2009,"Two man and a woman were having a party, but the men were starving so that they killed the girl and ate her body."
corpse eater,organ feast,,2003,A Korean man killed 19 people and ate their organs because his hatred towards the rich.
corpse eater,meat pork bun,images/porkbun.jpg,1984,Zhiheng Huang killed the Lin family following a financial dispute. He dismembered the bodies cooked the remains and served their meat inside the pork buns in the restaurant the Lin owned.
corpse eater,blood drinks,,1997,A 14-year-old man murdered a teenage boy cut up his throat drank his blood washed his head and placed it in front of his school.
corpse eater,eyeball wine,,2008,Yongming Zhang killed and dismembered eleven people. He cut out their eyeballs and soak them in alcohol and the remains fed dogs.
the container,water tank,images/tank.jpg,2013,Lam Ho Yi was found dead at the water tank on top of the hotel in LA. She was captured by security camera doing weird actions.
the container,Hello Kitty toy,images/hellokitty.png,1999,A man was murdered. His bodies was dimembered and stuffed in a Hello Kitty toy in a Hong Kong hotel.
the container,suitcase ,images/suitcase.png,2011,The bodies of two missing Chinese women were found  in a mountainous area near Tokyo. Their bodies were folded and stuffed in sperate suitcases.
the container,suitcase ,,2009,Annie Le's body was found stuffed inside a suitcase on her wedding day.
the container,refrigerator,images/icebox.jpg,2017,Arturo Novoa stored her corpse in the fridge and had another woman pretend to be her.
the container,refrigerator,,1965,Fred and Edwina's bodies were found in a fridge and were proved to be there over a week. The criminal was never found.
